ankle_pct,ankle_theta,knee_pct,knee_theta,pelvis_pct,pelvis_theta
0.6546727876186083,70.42035585619756,6.985844547061589,72.26383667482554,0.6792122130428027,73.15916004684702
2.274274865615645,70.66025111,13.31701630650457,73.24912076843768,6.495056038577637,69.06650252756751
3.893876943612689,70.84017255695406,14.936618384501607,73.30909458283146,8.163736967,67.4116695
5.574827585170226,70.85933085877429,16.55622046249865,73.49901166174512,9.783339045420114,65.79237651214395
12.875306648869014,70.20045187008702,18.175822540495695,73.66893746919419,11.402941123417158,64.4729526
14.49490872686605,69.98054788397648,19.79542461849274,73.85885454810781,13.022543201414194,63.27736349927872
16.114510804863095,69.56073118,20.67884393376385,73.928824,14.642145279411238,61.84410039788652
17.73411288286014,69.16090575392812,24.94870395757423,74.34864069899038,16.202852736390213,59.671715565400575
19.353714960857175,68.75108468890393,26.62965459913177,74.97520046547655,18.564947715079406,56.04591769917326
20.75246221003644,68.63738433244905,29.807510191565356,77.62720921918388,20.632832511093476,52.22704936895005
26.12659637793572,68.32127235241515,31.42711227,78.98661568,22.298446011760888,50.66897965
27.746198455932756,68.32127235241515,32.818497691114395,80.71469450296162,23.85494671009571,48.51420617488728
29.36580053,68.32127235241515,36.908842379706236,86.23498937480447,24.654230852483863,46.94660490247071
30.985402611926844,68.32127235241515,38.11001579341889,88.79066839287118,26.27383293,45.94104395
32.60500468992388,68.32127235241515,39.64637629105541,90.67386576412174,27.893435008477944,45.56120979
34.224606767920925,68.32127235241515,40.87623455349166,92.91171221101135,29.513037086474988,45.56120979
35.60494944803204,68.32127235241515,42.469853710451325,95.08958484350718,31.132639164472025,45.96103521926622
41.43919784263502,69.62070499761379,43.62811459047345,96.98942200835914,32.752241242469076,46.88063370663755
42.99569854096983,69.43649971054717,44.678401998629106,99.74398122,34.371843320466105,48.11009690171011
44.678401998629106,69.72066135493677,45.804328576915815,102.44950862819789,35.99144539846315,49.579455354357805
46.390026921966886,69.48951227862739,49.71842245113739,109.9761620291231,37.61104747646019,51.82847339412467
47.91760615462319,69.72066135493677,50.84393263645875,111.83477360403815,39.204666633419855,53.80114150482217
49.38997168007504,70.09272112941672,51.75708240945534,114.97474879032805,40.43452489585611,56.291230759309144
53.51259515134024,69.65069190481067,52.890929707260575,117.59450307446028,41.73367094772539,58.810424953134316
55.05857895306469,69.86060025518893,56.09592739145122,125.24641784784798,43.03281699959468,61.51071654728578
57.19350896496989,70.62026857084352,57.61558708226608,126.65446973467091,44.26267526203093,64.20777425928857
58.813111042966916,71.25998925771054,58.65454860176441,129.50532756486294,45.592818482857105,66.72407497961227
60.43271312096396,72.26954846667256,59.67920841087976,132.3392033677716,47.34829148478182,71.83240599731343
62.052315198961004,73.01422333,63.69790019799543,141.20004045516686,48.415945255545346,74.68157226
63.45106244814027,73.67995944252398,64.95103482719435,143.3428916139389,49.37864579141772,77.51495054095963
71.18098145676251,79.12655457902846,66.02770211768103,146.26938171481171,50.273390995346155,80.04948494497725
72.80058353475957,79.21651530061915,67.04608827278523,148.68701660972937,51.15681031061727,82.40429012957762
74.42018561,79.62633636564334,70.05567351945288,152.72513444991398,52.04022962588838,84.82323397679355
76.03978769075363,79.98617925200604,71.47545456185287,155.45322903085025,52.92364894115949,87.18720182748184
77.65938976875069,80.18609196665197,72.35887387712401,157.69391737417357,53.81839414508794,89.51663347522329
78.54280908,80.30603959543954,74.07146746199169,158.7847568842219,54.83772412424691,91.92953600413948
82.07648634510625,79.98617925200604,75.08275009920993,159.59517058742094,55.868379992063204,94.45843184441068
83.54885187055811,80.03726806,79.42622839929291,163.6096677884048,56.887709971222186,96.96799546612273
85.75740015873589,80.41599158849482,81.18325125966544,164.25805135957316,57.78245517515062,99.46517439
87.37700223673292,80.60590866740847,82.52801177,165.3209206257741,58.665874490421736,101.84746756818447
88.99660431472998,80.87579083218048,84.42306890129515,166.90621457008905,59.54929380569285,104.24808608322454
90.61620639272701,81.14567299695251,85.84574209,168.16317964625281,60.43271312096396,106.66702993044046
92.29715703428454,81.39639686,87.52423878927812,169.6820164957754,61.32745832,109.17266669525767
98.56698023016705,83.84449464467276,89.14384086727515,171.01143604817094,62.335462415394055,111.76922530048597
99.74487265052852,84.28630174404032,90.76344295,172.36084687203106,63.23020761932249,114.28120544951788
11.320754716981142,70.45009784735815,92.00022998665176,173.11651693339272,64.11362693459361,116.68182396455795
10.14150943396227,70.80234833659492,97.24185125726038,177.91342252132216,64.99704624986472,119.07327981351007
8.726415094339622,70.80234833659492,98.86145333525741,178.8730035516227,65.88046556513584,121.43724766419835
7.547169811320757,70.80234833659492,99.89210920307372,179.33613467388582,66.77521076906427,123.90623376466381
21.93396226415095,68.33659491,5.660377358490571,71.85909980430529,67.78321485956593,126.49433452427246
23.34905660377359,68.33659491,4.245283019,71.50684931506852,68.67796006349437,128.9781218545723
24.528301886792455,68.33659491,3.066037735849065,71.15459882583171,69.56137937876548,131.36041503743647
37.028301886792455,68.33659491,1.6509433962264168,70.80234833659492,70.45612458269392,133.8272867
38.20754716981133,68.68884540117419,0.47169811320755173,70.45009784735815,71.47545456185287,136.38940976741677
39.62264150943397,69.04109589041097,8.254716981132084,72.56360078277889,72.50611042966918,139.01255017316393
50.70754716981131,70.09784735812134,9.669811320754725,72.91585127201567,73.53676629748549,141.64354429270074
51.88679245,69.74559686888458,12.028301886792455,73.26810176125247,74.56742216530179,144.29809955360653
64.62264150943398,74.32485322896284,10.84905660377359,72.91585127201567,75.58675214446075,146.97077876941154
65.56603773584908,75.38160469667322,21.698113207547173,73.97260273972604,76.48149734838918,149.4841685593801
66.27358490566039,76.43835616438359,22.64150943396227,73.97260273972604,77.36491666,151.90311240659602
67.21698113207546,77.14285714285717,23.584905660377366,73.97260273972604,78.24833597893144,154.2395922590205
68.39622641509433,77.49510763209395,28.066037735849058,76.08610567514678,79.14308118285987,156.44356586340402
69.81132075471697,78.19960861056754,33.962264150943405,81.72211350293544,81.13785332263069,161.21696248498617
79.48113207547169,79.96086105675148,35.14150943396226,82.77886497064581,84.85132906615013,169.76091367183332
80.89622641509433,79.96086105675148,36.084905660377366,84.18786692759296,85.90463671128109,171.9471386153332
84.66981132075472,80.31311154598828,46.93396226415094,104.61839530332684,87.52423878927812,173.5553253420406
94.10377358490567,82.07436399217224,48.113207547169814,106.37964774951078,89.14384086727515,175.09465324481434
95.51886792452831,82.77886497064581,49.05660377358492,107.78864970645795,90.76344295,176.61398987612353
96.93396226415095,83.13111545988261,55.42452830188679,122.93542074363994,92.38304502326923,177.28369747018746
,,54.71698113207547,121.17416829745599,94.00264710126629,177.76348798533772
,,53.77358490566039,119.76516634050883,95.62224917926332,178.78304283003203
,,60.8490566,134.91193737769083,97.24185125726038,179.51272423848974
,,62.028301886792455,136.67318982387476,98.41974367762185,179.94453570212497
,,63.20754716981133,138.78669275929553,80.4245283,159.56947162426616
,,68.63207547169813,150.76320939334641,79.71698113207549,157.80821917808223
,,76.41509433962264,160.62622309197653,81.36792452830187,162.7397260273973
,,77.83018867924528,162.0352250489237,82.78301886792454,165.9099804305284
,,93.16037735849056,174.36399217221137,82.0754717,164.50097847358123
,,94.5754717,175.77299412915855,83.72641509433964,167.31898238747556
,,95.99056603773585,176.82974559686892,46.69811320754719,69.39334637964777
,,,,19.575471698113212,54.598825831702555
,,,,17.45283018867925,58.12133072407045
,,,,1.8867924528301927,72.56360078277889
,,,,2.830188679245289,71.85909980430529
,,,,4.009433962264154,71.15459882583171
,,,,5.188679245283019,70.45009784735815